Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",['busy'],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],[],[],[],[]
"(9, 10)","['DM803-I', 'MM852-I']",['DM803-I'],[],[],[],"(9, 10)",['DM873-I'],[],[],[],['DM803-T'],"(9, 10)",['MM852-I'],[],['DM803-T'],[],[],"(9, 10)",['DM873-I'],['DM873-I'],['DM873-T'],['DM865-I'],[],"(9, 10)","['DM865-I', 'MM852-I']",[],[],['DM873-T'],['DM803-T'],"(9, 10)",['MM852-I'],[],[],[],['DM803-T'],"(9, 10)","['DM803-I', 'MM852-I']","['DM803-T', 'MM852-T']",['DM876-I'],['DM876-T'],[],"(9, 10)",['MM852-I'],['DM873-I'],['DM873-T'],[],[],"(9, 10)","['DM846-I', 'DM872-I']","['DM846-T', 'DM872-I']",['DM872-T'],[],['DM865-I'],"(9, 10)",[],[],[],[],[],"(9, 10)",['busy'],['DM803-I'],['DM872-I'],['DM876-I'],[],"(9, 10)",['DM803-I'],['DM865-I'],"['DM846-I', 'DM872-I']",['DM872-T'],[],"(9, 10)",[],['DM872-I'],['DM865-I'],['DM803-T'],['DM872-T'],"(9, 10)",['DM876-T'],[],['DM872-T'],['busy'],['busy'],"(9, 10)",['DM803-I'],['DM872-I'],['DM872-I'],['DM872-T'],['DM865-I'],"(9, 10)",['DM872-I'],['DM803-T'],['DM872-T'],['busy'],['busy'],"(9, 10)",['DM872-T'],['DM872-T'],['DM865-I'],[],[]
"(10, 11)","['DM803-I', 'MM852-I']",['DM803-I'],[],[],[],"(10, 11)",['DM873-I'],['DM873-I'],[],[],['DM803-T'],"(10, 11)","['DM865-I', 'MM852-I']",['DM846-I'],['DM803-T'],[],[],"(10, 11)",['DM873-I'],['DM873-I'],['DM873-T'],['DM865-I'],[],"(10, 11)","['DM865-I', 'MM852-I']",[],[],['DM873-T'],['DM803-T'],"(10, 11)","['DM876-I', 'MM852-I']",['DM846-I'],[],[],['DM803-T'],"(10, 11)","['DM803-I', 'MM852-I']","['DM803-T', 'MM852-T']",['DM876-I'],['DM876-T'],[],"(10, 11)","['DM865-I', 'MM852-I']",['DM873-I'],['DM873-T'],[],[],"(10, 11)","['DM846-I', 'DM872-I']","['DM846-T', 'DM872-I']",['DM872-T'],['DM865-I'],['DM865-I'],"(10, 11)",[],[],[],[],[],"(10, 11)",['busy'],['DM803-I'],['DM872-I'],['DM876-I'],['DM872-T'],"(10, 11)",['DM803-I'],['DM865-I'],"['DM846-I', 'DM872-I']",['DM872-T'],['DM872-T'],"(10, 11)",['DM865-I'],['DM872-I'],['DM865-I'],['DM803-T'],['DM872-T'],"(10, 11)",['DM876-T'],['DM865-I'],['DM872-T'],['busy'],['busy'],"(10, 11)",['DM803-I'],['DM872-I'],['DM872-I'],['DM872-T'],['DM865-I'],"(10, 11)",['DM872-I'],['DM803-T'],['DM872-T'],['busy'],['busy'],"(10, 11)",['DM872-T'],['DM872-T'],['DM865-I'],[],[]
"(11, 12)",['DM846-I'],[],[],[],[],"(11, 12)",['DM865-I'],['DM873-I'],[],[],[],"(11, 12)",['DM865-I'],['DM846-I'],[],[],[],"(11, 12)",[],['DM865-I'],[],[],[],"(11, 12)",['DM876-I'],['DM865-I'],[],['DM803-I'],[],"(11, 12)","['DM846-I', 'DM876-I']",['DM846-I'],[],[],[],"(11, 12)",['DM865-I'],['DM865-I'],[],['DM873-I'],[],"(11, 12)",['DM865-I'],['DM876-I'],[],[],[],"(11, 12)",[],[],[],['DM865-I'],[],"(11, 12)",[],[],[],[],[],"(11, 12)",['busy'],['DM865-I'],['DM803-T'],[],['DM872-T'],"(11, 12)",['DM846-I'],[],[],[],['DM872-T'],"(11, 12)",['DM865-I'],[],[],['DM872-I'],['DM873-T'],"(11, 12)",['DM872-I'],['DM865-I'],['DM865-I'],['busy'],['busy'],"(11, 12)",[],[],[],[],[],"(11, 12)",['DM865-I'],['DM873-T'],[],['busy'],['busy'],"(11, 12)",[],[],[],[],[]
"(12, 13)",['DM846-I'],['DM846-I'],['busy'],[],[],"(12, 13)",['DM865-I'],['DM865-I'],[],[],[],"(12, 13)",['DM846-I'],['DM865-I'],[],[],[],"(12, 13)","['DM865-I', 'MM852-I']",['DM865-I'],[],[],[],"(12, 13)",['DM876-I'],['DM865-I'],[],['DM803-I'],[],"(12, 13)",['DM846-I'],[],[],[],[],"(12, 13)",['DM865-I'],['DM865-I'],[],['DM873-I'],[],"(12, 13)",['DM846-I'],['DM876-I'],[],[],[],"(12, 13)",[],[],[],[],[],"(12, 13)",[],[],[],[],[],"(12, 13)",['busy'],['DM865-I'],['DM803-T'],[],['DM865-I'],"(12, 13)",['DM846-I'],[],[],[],['DM865-I'],"(12, 13)",['DM876-I'],[],[],['DM872-I'],['DM873-T'],"(12, 13)",['DM872-I'],['DM872-I'],['DM865-I'],['busy'],['busy'],"(12, 13)",[],[],[],[],[],"(12, 13)",['DM865-I'],['DM873-T'],[],['busy'],['busy'],"(12, 13)",[],[],[],[],[]
"(13, 14)",[],['DM846-I'],['busy'],[],[],"(13, 14)",[],['DM865-I'],[],[],[],"(13, 14)",['DM846-I'],['DM865-I'],[],[],[],"(13, 14)","['DM865-I', 'MM852-I']",[],[],[],[],"(13, 14)",[],[],[],[],[],"(13, 14)",['DM865-I'],[],[],[],[],"(13, 14)",[],[],[],[],[],"(13, 14)",['DM846-I'],['DM803-I'],[],[],[],"(13, 14)",[],[],[],[],[],"(13, 14)",[],[],[],[],[],"(13, 14)",['busy'],[],[],[],['DM865-I'],"(13, 14)",[],[],[],[],['DM865-I'],"(13, 14)",['DM876-I'],[],[],[],[],"(13, 14)",['DM803-I'],['DM872-I'],[],['busy'],['busy'],"(13, 14)",[],[],[],[],[],"(13, 14)",['DM873-I'],['DM865-I'],[],['busy'],['busy'],"(13, 14)",[],[],[],[],[]
"(14, 15)",[],[],['busy'],[],"['DM846-T', 'DM876-I', 'MM852-T']","(14, 15)",[],[],[],[],['DM876-I'],"(14, 15)",[],[],[],[],"['DM846-T', 'DM876-I', 'MM852-T']","(14, 15)",[],[],[],[],"['DM803-T', 'MM852-T']","(14, 15)",[],[],[],[],"['DM846-T', 'DM876-T', 'MM852-T']","(14, 15)",['DM865-I'],[],[],[],"['DM846-T', 'DM876-T', 'MM852-T']","(14, 15)",['DM846-I'],[],[],[],['DM873-T'],"(14, 15)",[],['DM803-I'],[],[],"['DM846-T', 'DM876-T', 'MM852-T']","(14, 15)",[],[],[],[],"['DM846-T', 'DM876-T']","(14, 15)",[],[],[],[],[],"(14, 15)",['busy'],[],[],[],"['DM846-T', 'DM876-T']","(14, 15)",[],[],[],[],"['DM846-T', 'DM876-T']","(14, 15)",[],[],[],[],['DM876-T'],"(14, 15)",['DM803-I'],['DM873-T'],[],['busy'],['busy'],"(14, 15)",[],[],[],[],['DM876-T'],"(14, 15)",['DM873-I'],['DM865-I'],[],['busy'],['busy'],"(14, 15)",[],[],[],[],['DM876-T']
"(15, 16)",['DM865-I'],['DM865-I'],['busy'],[],"['DM846-T', 'DM876-I', 'MM852-T']","(15, 16)",['DM846-I'],['DM846-T'],['DM803-I'],['DM865-I'],['DM876-I'],"(15, 16)",['DM873-I'],['DM803-I'],['DM873-I'],['DM865-I'],"['DM846-T', 'DM876-I', 'MM852-T']","(15, 16)",['DM846-I'],['DM846-T'],['DM803-I'],[],"['DM803-T', 'MM852-T']","(15, 16)",['DM873-I'],['DM846-I'],['DM873-I'],[],"['DM846-T', 'DM876-T', 'MM852-T']","(15, 16)",['DM873-I'],['DM873-T'],['DM803-I'],['DM865-I'],"['DM846-T', 'DM876-T', 'MM852-T']","(15, 16)",['DM846-I'],['DM846-T'],['DM873-I'],[],['DM873-T'],"(15, 16)",['DM873-I'],['DM846-I'],['DM865-I'],['DM803-T'],"['DM846-T', 'DM876-T', 'MM852-T']","(15, 16)",['DM803-I'],['DM803-T'],['DM876-I'],['DM873-I'],"['DM846-T', 'DM876-T']","(15, 16)",[],[],[],[],[],"(15, 16)",['busy'],[],['DM846-I'],['DM872-I'],"['DM846-T', 'DM876-T']","(15, 16)",['DM865-I'],['DM803-T'],['DM876-I'],[],"['DM846-T', 'DM876-T']","(15, 16)",['DM873-I'],['DM803-I'],[],[],['DM876-T'],"(15, 16)",['DM873-I'],['DM873-T'],['DM803-T'],['busy'],['busy'],"(15, 16)",['DM865-I'],['DM803-T'],['DM865-I'],[],['DM876-T'],"(15, 16)",['DM803-T'],['DM872-I'],['DM876-T'],['busy'],['busy'],"(15, 16)",['DM876-I'],[],[],[],['DM876-T']
"(16, 17)",['DM865-I'],['DM865-I'],['busy'],[],[],"(16, 17)",['DM846-I'],['DM846-T'],['DM803-I'],['DM865-I'],[],"(16, 17)",['DM873-I'],['DM803-I'],['DM873-I'],['DM865-I'],[],"(16, 17)",['DM846-I'],['DM846-T'],['DM803-I'],[],[],"(16, 17)",['DM873-I'],['DM846-I'],['DM873-I'],[],[],"(16, 17)",['DM873-I'],['DM873-T'],['DM803-I'],['DM865-I'],[],"(16, 17)",[],['DM846-T'],['DM873-I'],[],[],"(16, 17)",['DM873-I'],['DM846-I'],['DM865-I'],['DM803-T'],[],"(16, 17)",['DM803-I'],['DM803-T'],['DM876-I'],['DM873-I'],[],"(16, 17)",[],[],[],[],[],"(16, 17)",['busy'],[],['DM846-I'],['DM872-I'],[],"(16, 17)",['DM865-I'],['DM803-T'],['DM876-I'],[],[],"(16, 17)",['DM873-I'],['DM803-I'],[],[],[],"(16, 17)",['DM873-I'],[],['DM803-T'],['busy'],['busy'],"(16, 17)",['DM865-I'],['DM803-T'],['DM865-I'],[],[],"(16, 17)",['DM803-T'],['DM872-I'],['DM876-T'],['busy'],['busy'],"(16, 17)",['DM876-I'],[],[],[],[]
"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],[],[]
"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",[],[],[],[],[],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy']
"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",[],[],[],[],[],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy']
